zone_id,zone_name,jahr,monat,niederschlag_mm,temperatur_mittel_c
north_foreststeppe,Северная лесостепь,2002,4,7.8,-1.4
north_foreststeppe,Северная лесостепь,2002,5,72.1,10.4
north_foreststeppe,Северная лесостепь,2002,6,68.2,15.5
north_foreststeppe,Северная лесостепь,2002,7,58.5,17.4
north_foreststeppe,Северная лесостепь,2002,8,112.2,14.4
north_foreststeppe,Северная лесостепь,2002,9,33.4,11.5
north_foreststeppe,Северная лесостепь,2002,10,41.5,1.0
north_foreststeppe,Северная лесостепь,2003,3,11.2,-8.4
north_foreststeppe,Северная лесостепь,2003,4,14.4,1.0
north_foreststeppe,Северная лесостепь,2003,5,14.5,13.6
north_foreststeppe,Северная лесостепь,2003,6,60.7,17.5
north_foreststeppe,Северная лесостепь,2003,7,97.9,17.1
north_foreststeppe,Северная лесостепь,2003,8,73.3,18.8
north_foreststeppe,Северная лесостепь,2003,9,23.9,11.4
north_foreststeppe,Северная лесостепь,2003,10,23.3,3.3
north_foreststeppe,Северная лесостепь,2004,3,34.2,-10.1
north_foreststeppe,Северная лесостепь,2004,4,39.5,-0.7
north_foreststeppe,Северная лесостепь,2004,5,37.5,15.0
north_foreststeppe,Северная лесостепь,2004,6,95.3,18.3
north_foreststeppe,Северная лесостепь,2004,7,15.0,19.3
north_foreststeppe,Северная лесостепь,2004,8,43.5,15.6
north_foreststeppe,Северная лесостепь,2004,9,66.5,9.5
north_foreststeppe,Северная лесостепь,2004,10,56.6,3.5
north_foreststeppe,Северная лесостепь,2005,3,25.1,-5.4
north_foreststeppe,Северная лесостепь,2005,4,22.2,2.7
north_foreststeppe,Северная лесостепь,2005,5,43.1,11.9
north_foreststeppe,Северная лесостепь,2005,6,54.0,18.8
north_foreststeppe,Северная лесостепь,2005,7,88.2,19.2
north_foreststeppe,Северная лесостепь,2005,8,87.6,16.2
north_foreststeppe,Северная лесостепь,2005,9,39.5,10.8
north_foreststeppe,Северная лесостепь,2005,10,17.4,4.4
north_foreststeppe,Северная лесостепь,2006,3,23.2,-5.0
north_foreststeppe,Северная лесостепь,2006,4,18.1,-0.1
north_foreststeppe,Северная лесостепь,2006,5,17.7,10.3
north_foreststeppe,Северная лесостепь,2006,6,99.5,20.6
north_foreststeppe,Северная лесостепь,2006,7,41.8,18.2
north_foreststeppe,Северная лесостепь,2006,8,74.1,14.2
north_foreststeppe,Северная лесостепь,2006,9,48.1,11.1
north_foreststeppe,Северная лесостепь,2006,10,65.8,1.6
north_foreststeppe,Северная лесостепь,2007,3,11.9,-7.6
